Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2,9,1,0,106,6617.791228,0.009047619,0.026412307,1.777492546,0,Nov,3,2,1,1,Returning_Visitor,TRUE,TRUE
0,0,2,65.5,4,71.5,0,0.033333333,0,0,Nov,2,2,1,11,Returning_Visitor,TRUE,FALSE
2,67.5,0,0,7,393.5,0,0.025,0,0,Dec,2,2,1,2,New_Visitor,FALSE,FALSE
4,37.5,2,82,4,96.625,0,0.0175,0,0,Nov,2,2,9,2,New_Visitor,FALSE,FALSE
0,0,0,0,3,0,0.2,0.2,0,0,Nov,3,2,4,3,Returning_Visitor,TRUE,FALSE
9,181.275,2,65,120,3283.715359,0.004651163,0.024543027,2.442153455,0,Nov,1,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,5,62.75,0,0.04,0,0,Dec,2,2,6,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,12,292.875,0,0.028333333,0,0,Nov,4,2,3,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,37,2296.25,0,0.014864865,0,0,Nov,2,2,1,13,Returning_Visitor,FALSE,FALSE
4,59.2,0,0,5,38.35833333,0,0.043915344,0,0,Dec,3,2,8,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,21,476.8666667,0.00952381,0.034126984,0,0,Nov,3,2,1,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,11,435.3333333,0.063636364,0.104242424,0,0,Nov,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,13,597.625,0.007692308,0.034615385,0,0,Nov,3,2,1,8,Returning_Visitor,FALSE,TRUE
1,120.5,0,0,75,1677.805952,0.006578947,0.023128655,0,0,Dec,2,2,1,1,Returning_Visitor,FALSE,FALSE
2,170,1,22,39,1177.291667,0.002564103,0.01965812,0,0,Nov,2,5,7,2,Returning_Visitor,FALSE,FALSE
9,387.75,0,0,64,980.5021994,0.000866739,0.012798697,9.581561053,0,Nov,3,2,3,1,Returning_Visitor,FALSE,TRUE
0,0,0,0,2,0,0.2,0.2,0,0,Nov,1,1,1,1,Returning_Visitor,FALSE,FALSE
2,44.5,0,0,35,1330.666667,0.005882353,0.014705882,0,0,Nov,2,2,6,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,24,1050.5,0.022727273,0.062121212,0,0,Dec,2,10,4,1,Returning_Visitor,FALSE,FALSE
4,101.3333333,7,693.5,171,9119.885413,0.00441989,0.021627971,0.686565227,0,Dec,2,2,3,10,Returning_Visitor,FALSE,FALSE
